experiment,point_index,amplitude_energy_GeV,amplitude_energy_TeV,dipole_amplitude,amplitude_err_minus,amplitude_err_plus,amplitude_lower,amplitude_upper,phase_energy_GeV,phase_energy_TeV,phase_hour,phase_err_minus_hour,phase_err_plus_hour,phase_lower_hour,phase_upper_hour,amplitude_lower_clipped,amplitude_upper_clipped,phase_missing,marker_shape,rgb,vector_x_amplitude_pt,vector_y_amplitude_pt,vector_x_phase_pt,vector_y_phase_pt,extraction_method,source_pdf_page
IceCube,7,579732.7283666474,579.7327283666474,0.00028990411953119214,0.00004981168139458374,0.0000499848424846183,0.0002400924381366084,0.00033988896201581043,579734.0052669018,579.7340052669018,-6.8675964407676275,0.6665808696439335,0.6668782639060105,-7.534177310411561,-6.200718176861617,false,false,false,triangle_down,"0,0,1",235.646,165.57691874999992,475.9375,206.31391875,PDF vector paths only,5
IceCube,8,1400044.7603069928,1400.0447603069929,0.0006198648983193537,0.0001197494369033368,0.00012020812458760912,0.0005001154614160169,0.0007400730229069628,1400149.3433399703,1400.1493433399703,-6.731553706519044,0.7369609908297079,0.7326683771883644,-7.468514697348752,-5.99888532933068,false,false,false,triangle_down,"0,0,1",255.566,142.55941875,495.85900000000004,205.24691875,PDF vector paths only,5
IceCube,9,5396760.33813128,5396.760338131279,0.0004597827528187673,,0.0005200146270307369,,0.0009797973798495042,,,,,,,,true,false,true,triangle_down,"0,0,1",286.0505,151.60791874999998,,,PDF vector paths only,5
ARGO-YBJ,1,4040.841630368079,4.040841630368079,0.0009544986251125025,0.000011849765542182246,0.00001199537495402323,0.0009426488595703202,0.0009664940000665257,4040.6222394959445,4.040622239495945,1.6340440886196586,0.04815364541456013,0.048395258330586444,1.5858904432050984,1.682439346950245,false,false,false,circle,"0.12941,0.55294,0.12941",123.447,129.48450000000003,363.73800000000006,139.6345,PDF vector paths only,5
ARGO-YBJ,2,7066.512867182014,7.066512867182014,0.0011911906885559106,0.000016121625477201083,0.000016368923723701807,0.0011750690630787095,0.0012075596122796124,7066.156532790358,7.066156532790358,1.984924692792207,0.05245741532511872,0.04839908333716281,1.9324672774670884,2.03332377612937,false,false,false,circle,"0.12941,0.55294,0.12941",136.0745,122.77499999999998,376.3655,136.88249999999994,PDF vector paths only,5
ARGO-YBJ,3,12226.333038814857,12.226333038814857,0.0011710303349636826,0.000022360260147031002,0.000021503396550283686,0.0011486700748166516,0.0011925337315139663,12226.033469860255,12.226033469860255,1.5902477632078682,0.07023987094428463,0.0745965534459323,1.5200078922635836,1.6648443166538005,false,false,false,circle,"0.12941,0.55294,0.12941",148.4605,123.29200000000003,388.75199999999995,139.97799999999995,PDF vector paths only,5
ARGO-YBJ,4,21675.51015613105,21.67551015613105,0.0011165108822616477,0.000030023936245792164,0.00003079698479716963,0.0010864869460158555,0.0011473078670588173,21675.54464561532,21.675544645615318,1.4848688317585186,0.10508440594221646,0.10102161144657984,1.3797844258163021,1.5858904432050984,false,false,false,circle,"0.12941,0.55294,0.12941",161.39700000000002,124.73599999999999,401.68899999999996,140.80449999999996,PDF vector paths only,5
ARGO-YBJ,5,39374.48274953303,39.37448274953303,0.0008197487122584981,0.00004527849337467114,0.00004395678195470926,0.000774470218883827,0.0008637054942132073,39375.57946440004,39.37557946440004,-0.08121636484443151,0.21050349996071915,0.20624435512699613,-0.29171986480515066,0.12502799028256462,false,false,false,circle,"0.12941,0.55294,0.12941",174.8835,134.09400000000005,415.17600000000004,153.08749999999998,PDF vector paths only,5
ARGO-YBJ,6,71421.02024697754,71.42102024697753,0.00042368349427512593,0.00006759152124417297,0.00006740390725302981,0.00035609197303095296,0.0004910874015281557,71418.56204149647,71.41856204149647,-0.8796227396004159,0.6051829795494381,0.6097704374484767,-1.484805719149854,-0.2698523021519392,false,false,false,circle,"0.12941,0.55294,0.12941",188.337,154.08450000000005,428.62800000000004,159.34950000000003,PDF vector paths only,5
ARGO-YBJ,7,160084.7927767618,160.08479277676182,0.0007815322078750858,0.00008865732649439089,0.00008806680656178538,0.0006928748813806949,0.0008695990144368712,160083.7197695116,160.08371976951162,-7.25794872228046,0.4298663526761288,0.4299913028912705,-7.687815074956589,-6.82795741938919,false,false,false,circle,"0.12941,0.55294,0.12941",206.572,135.53999999999996,446.86350000000004,209.3755,PDF vector paths only,5
ARGO-YBJ,8,520304.2900617663,520.3042900617663,0.000912120733675317,0.0002293977454831688,0.00023000008231140038,0.0006827229881921482,0.0011421208159867174,520305.04664910136,520.3050466491013,-5.38044423945243,0.9605860165090476,0.9608384669437342,-6.341030255961478,-4.419605772508696,false,false,false,circle,"0.12941,0.55294,0.12941",233.2025,130.86,473.494,194.64999999999998,PDF vector paths only,5
KASCADE-Grande,1,2699003.2037732983,2699.003203773298,0.0025995228652138844,0.0009990182261145379,0.001002141019277046,0.0016005046390993466,0.0036016638844909303,2698978.144480651,2698.978144480651,-8.999463861576846,1.4651784947292157,1.4652865511652848,-10.464642356306062,-7.534177310411561,false,false,false,triangle_down,"1,0,0",270.39549999999997,99.13891874999993,510.68649999999997,223.03441875000001,PDF vector paths only,5
KASCADE-Grande,2,6095977.090088537,6095.977090088537,0.002899090489182413,0.0015989716619794142,0.0016006392459275618,0.0013001188272029987,0.004499729735109975,6095954.861174234,6095.954861174234,-8.868011135231672,2.0001694159167194,2.0005324727918428,-10.868180551148392,-6.867478662439829,false,false,false,triangle_down,"1,0,0",288.803,95.83541874999995,529.094,222.00341874999995,PDF vector paths only,5
